uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,779609,552078,bfs,27,2020.4412,11.0794
src1_length,1,779609,552078,length,34,1374.5906,11.2459
src1_resistance,1,779609,552078,resistance,82,5167.2626,13.9321
src1_radius,1,779609,552078,radius,71,4480.4865,15.6596
src2_bfs,2,87474,552078,bfs,127,12529.3194,6.4032
src2_length,2,87474,552078,length,215,10144.45,6.287
src2_resistance,2,87474,552078,resistance,280,14955.2317,12.4988
src2_radius,2,87474,552078,radius,204,12957.2249,10.9008
src3_bfs,3,319805,552078,bfs,134,12225.4686,5.8672
src3_length,3,319805,552078,length,199,9284.6585,6.7973
src3_resistance,3,319805,552078,resistance,308,12666.7032,15.3383
src3_radius,3,319805,552078,radius,321,13939.4079,15.6416
src4_bfs,4,2854,552078,bfs,107,8800.6007,7.1611
src4_length,4,2854,552078,length,148,7241.4188,5.9925
src4_resistance,4,2854,552078,resistance,205,11037.6113,11.3641
src4_radius,4,2854,552078,radius,200,12557.7434,11.5171
src5_bfs,5,727967,552078,bfs,77,6584.7337,7.5891
src5_length,5,727967,552078,length,104,5364.5478,10.7932
src5_resistance,5,727967,552078,resistance,197,8841.3656,14.8689
src5_radius,5,727967,552078,radius,130,7194.0277,12.8524
