uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,308329,552078,bfs,0.150126,813874,8138,1.0,0.023839,0.473335
src1_length,1,308329,552078,length,0.526217,813874,8138,0.906734,0.019415,0.451462
src1_resistance,1,308329,552078,resistance,0.712935,813874,8138,0.648562,0.029,0.707913
src1_radius,1,308329,552078,radius,0.709219,813874,8138,0.473335,0.140084,1.0
src2_bfs,2,677010,552078,bfs,0.156353,813874,8138,1.0,0.03244,0.532809
src2_length,2,677010,552078,length,0.53658,813874,8138,0.913124,0.027771,0.502703
src2_resistance,2,677010,552078,resistance,0.66645,813874,8138,0.627918,0.320963,0.84001
src2_radius,2,677010,552078,radius,0.64693,813874,8138,0.532809,0.344679,1.0
src3_bfs,3,755117,552078,bfs,0.144981,813874,8138,1.0,0.034529,0.250922
src3_length,3,755117,552078,length,0.488235,813874,8138,0.8174,0.034038,0.215655
src3_resistance,3,755117,552078,resistance,0.585099,813874,8138,0.253256,0.264438,0.779798
src3_radius,3,755117,552078,radius,0.678138,813874,8138,0.250922,0.266773,1.0
src4_bfs,4,468797,552078,bfs,0.135249,813874,8138,1.0,0.009093,0.503932
src4_length,4,468797,552078,length,0.580667,813874,8138,0.737282,0.009585,0.35709
src4_resistance,4,468797,552078,resistance,0.69925,813874,8138,0.618334,0.028877,0.762104
src4_radius,4,468797,552078,radius,0.651834,813874,8138,0.503932,0.034284,1.0
src5_bfs,5,390983,552078,bfs,0.155958,813874,8138,1.0,0.001597,0.234947
src5_length,5,390983,552078,length,0.551876,813874,8138,0.84173,0.000123,0.203613
src5_resistance,5,390983,552078,resistance,0.626962,813874,8138,0.241951,0.003195,0.77218
src5_radius,5,390983,552078,radius,0.640172,813874,8138,0.234947,0.025068,1.0
