uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,60374,552078,bfs,0.154911,813874,8138,1.0,0.23335,0.291595
src1_length,1,60374,552078,length,0.527296,813874,8138,0.787417,0.274883,0.322807
src1_resistance,1,60374,552078,resistance,0.69735,813874,8138,0.315925,0.652372,0.830179
src1_radius,1,60374,552078,radius,0.67608,813874,8138,0.291595,0.605063,1.0
src2_bfs,2,434550,552078,bfs,0.162112,813874,8138,1.0,0.180265,0.185058
src2_length,2,434550,552078,length,0.50548,813874,8138,0.512042,0.269231,0.248341
src2_resistance,2,434550,552078,resistance,0.648276,813874,8138,0.199926,0.647456,0.818383
src2_radius,2,434550,552078,radius,0.641405,813874,8138,0.185058,0.594618,1.0
src3_bfs,3,605067,552078,bfs,0.13395,813874,8138,1.0,0.041288,0.274883
src3_length,3,605067,552078,length,0.5165,813874,8138,0.762841,0.026788,0.257188
src3_resistance,3,605067,552078,resistance,0.693132,813874,8138,0.2551,0.266036,0.755837
src3_radius,3,605067,552078,radius,0.701422,813874,8138,0.274883,0.270582,1.0
src4_bfs,4,45771,552078,bfs,0.149293,813874,8138,1.0,0.107397,0.294053
src4_length,4,45771,552078,length,0.570632,813874,8138,0.720202,0.113173,0.273409
src4_resistance,4,45771,552078,resistance,0.650793,813874,8138,0.210002,0.661833,0.668838
src4_radius,4,45771,552078,radius,0.663666,813874,8138,0.294053,0.573974,1.0
src5_bfs,5,671721,552078,bfs,0.13751,813874,8138,1.0,0.022856,0.263947
src5_length,5,671721,552078,length,0.530647,813874,8138,0.247727,0.019169,0.086631
src5_resistance,5,671721,552078,resistance,0.617256,813874,8138,0.278078,0.365569,0.672524
src5_radius,5,671721,552078,radius,0.651646,813874,8138,0.263947,0.331531,1.0
