uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,60374,552078,bfs,98,8502.4057,7.9591
src1_length,1,60374,552078,length,143,6331.6183,5.5665
src1_resistance,1,60374,552078,resistance,210,11959.1129,11.4374
src1_radius,1,60374,552078,radius,222,13013.881,12.9858
src2_bfs,2,434550,552078,bfs,90,8199.9424,7.1024
src2_length,2,434550,552078,length,122,6190.3869,6.1631
src2_resistance,2,434550,552078,resistance,184,11131.9557,10.9795
src2_radius,2,434550,552078,radius,197,12190.1207,12.7399
src3_bfs,3,605067,552078,bfs,61,4611.0552,7.7623
src3_length,3,605067,552078,length,72,3733.5774,8.5192
src3_resistance,3,605067,552078,resistance,155,7437.2566,15.6664
src3_radius,3,605067,552078,radius,86,5952.1501,16.7185
src4_bfs,4,45771,552078,bfs,101,9151.839,5.947
src4_length,4,45771,552078,length,185,7122.1429,13.2416
src4_resistance,4,45771,552078,resistance,230,9366.7078,16.6338
src4_radius,4,45771,552078,radius,254,10671.1062,16.8655
src5_bfs,5,671721,552078,bfs,44,4361.8482,6.9785
src5_length,5,671721,552078,length,70,3866.186,7.8152
src5_resistance,5,671721,552078,resistance,123,7887.2376,12.2717
src5_radius,5,671721,552078,radius,107,7146.3578,13.6248
