edge_id,src,dst,length_um,radius_um,usage
668,442,788358,39.2457,5.8407,36
4770,3415,3799,26.9444,4.6365,1
6364,4617,306995,30.9461,5.1194,1
6755,4911,666252,26.6562,3.8106,5
8643,4029,6288,110.6165,5.5,7
8644,6288,18296,20.4641,4.6213,7
8692,6323,6862,75.6439,4.216,1
9279,6753,6862,76.3806,3.9324,1
9280,6753,314321,41.0941,4.6111,1
9362,6813,7101,118.9706,3.3839,1
10371,6813,7547,79.3662,5.0452,1
10485,7547,7635,4.1231,7.4952,1
10619,7728,236214,6.2093,3.8028,1
10620,7728,246012,38.2136,3.6056,1
10773,7834,329408,5.7785,4.8408,1
10774,7834,63640,41.0227,4.2078,1
11287,4911,8210,51.099,5.8941,5
12466,9047,9751,27.7489,3.3708,1
13716,9979,314321,62.4024,3.4155,1
13717,9047,9979,41.7373,2.7369,1
16975,12319,316879,159.424,3.9263,1
18035,12319,13062,17.0,3.8172,1
20001,14490,324932,85.6892,4.0335,1
20099,14560,21182,11.9094,6.8143,4
20155,14596,676330,56.8448,4.9839,10
20807,15049,820250,64.8305,13.923,1
20808,15049,30955,22.0454,18.3984,1
21005,13062,15189,63.773,4.0388,1
21500,15524,40920,64.3345,18.2257,1
22006,15888,325289,65.6546,4.4142,1
22007,15888,326340,48.8012,3.217,1
22131,15972,42765,80.3396,3.452,1
22132,15972,458670,53.3437,3.7606,1
22201,16019,17687,58.7282,8.1771,1
22350,16119,327852,19.9722,5.6506,1
23585,17016,330012,30.576,6.8166,1
24827,17629,17880,5.099,4.511,1
24828,17880,19225,29.5635,3.5616,1
26885,19318,332245,25.9015,7.3817,1
29505,21182,697978,193.2148,5.6569,4
29912,21460,26738,95.1473,3.452,1
30576,21945,336974,33.5023,6.5332,1
30998,22263,67049,169.2733,10.0607,1
31000,22263,324754,49.9333,9.8654,1
31028,22280,169494,178.8944,4.899,1
31168,22380,259331,100.065,3.7913,1
31300,22463,663705,42.681,3.9324,1
32863,23585,339280,45.5119,4.953,1
33146,23585,23778,30.2324,4.4689,1
34916,25010,676975,37.2514,7.806,10
34947,25031,30501,28.3885,8.9003,1
35089,25128,26343,51.9038,10.5477,1
36744,26317,283240,100.0433,5.0196,7
36745,26317,94545,44.243,3.4758,7
36777,26343,354629,110.529,10.0499,1
37935,27151,676809,44.9432,6.0402,1
38604,27631,343909,60.7371,3.7071,1
38787,27756,287143,60.3552,4.6926,1
39893,26738,28519,59.5063,2.9954,1
39894,28519,352822,40.653,3.217,1
41056,29343,329828,65.0513,4.999,1
41312,29521,31635,149.9667,4.4534,1
41874,29920,151758,83.9614,5.9545,1
42455,30310,688960,67.3391,4.3509,1
42745,30501,48259,149.1729,6.7814,1
43363,30940,362712,82.6648,4.7404,1
43385,8912,30955,14.1774,18.3712,1
43552,31066,354267,17.6792,5.458,1
