edge_id,src,dst,length_um,radius_um,usage
314,209,544,7.5498,11.9345,2
547,361,655737,12.2066,23.6854,1
594,391,641,10.8064,10.4093,4
813,544,327426,108.8174,10.6892,2
975,641,316775,88.82,11.7681,4
1215,795,25164,17.9528,15.0322,1
1239,813,438642,11.225,8.765,2
1240,813,506239,12.7279,6.1858,2
1461,958,1330,3.7859,5.0794,1
1702,1120,319384,7.6305,12.9428,1
1899,1259,430601,12.261,11.3106,2
1985,1330,322657,22.166,4.2426,1
2165,1458,670888,29.9054,6.3284,1
2208,1491,321206,25.197,6.1401,1
3336,2319,236448,6.8232,11.5509,16
3484,2432,304481,9.1469,7.7457,1
4064,2875,28146,107.6998,6.8301,1
4065,2875,316235,48.766,4.9495,1
4445,3165,304481,53.0094,7.68,1
4446,3165,305620,54.6158,7.3805,1
4611,3298,307078,56.1694,4.6213,1
4817,3452,3453,7.0439,5.734,1
4859,3479,4586,4.4535,5.1881,1
6197,4494,5460,82.3529,5.5649,1
6314,4586,327622,54.95,5.2779,1
7061,4494,5127,29.3598,5.9137,1
7331,5323,307078,36.5787,3.9241,1
7734,5616,309053,4.25,7.129,1
8397,5460,6099,30.7734,4.7541,1
8691,6323,309927,20.5318,5.9853,1
8871,6440,329334,78.4049,5.2417,1
8872,6440,25502,41.9868,6.6139,1
9079,6597,310109,107.1836,6.8541,1
9491,6597,6906,21.6564,6.8541,1
10109,7370,48922,108.4963,5.0368,1
11109,8080,495278,71.1633,4.8452,2
11692,8312,8499,4.3589,7.0355,1
12206,8864,322610,6.549,12.2505,8
12278,8912,237600,3.2787,18.3576,16
12279,8912,105872,62.2415,18.0811,15
14338,8499,10435,50.2494,7.8075,1
14555,10584,434190,6.7741,23.2427,1
14556,10584,566044,6.9761,22.3704,1
16041,11655,818694,92.8081,30.2964,13
16042,11655,22486,17.2498,26.9105,13
16476,11963,317988,46.2877,7.3169,1
16601,12049,322811,9.2916,4.5247,1
17633,12781,285312,5.1208,4.2426,1
17965,1491,13013,118.1637,6.8416,1
17966,13013,329327,82.6357,7.3247,1
18148,13147,321941,152.1436,5.1476,1
18149,13147,16379,75.71,5.4704,1
18386,11963,13326,39.4715,5.9161,1
19431,13326,14081,18.1934,5.1375,1
19432,14081,326403,24.448,5.0517,1
20001,14490,324932,85.6892,4.0335,1
20067,3453,14535,19.6885,5.1926,1
20289,14687,324140,5.1208,8.1542,2
20738,14998,338284,221.5121,7.4736,4
20739,14998,321224,14.3047,7.5886,4
22087,15940,813330,23.0796,10.5825,1
22088,15940,287300,23.6761,14.8605,2
22343,16114,18085,63.7887,4.2976,1
22714,16379,328509,4.0415,5.9545,1
23585,17016,330012,30.576,6.8166,1
25118,18085,332056,42.3386,4.6111,1
25120,18086,339385,62.9682,8.5149,1
26963,19371,338060,35.0999,5.5902,1
27245,19566,683992,83.9764,15.103,4
27278,19371,19585,55.1543,9.294,1
27392,19673,335034,9.877,13.3218,1
27585,19673,19803,3.0,13.0896,1
28357,20366,20373,9.434,6.1336,1
28358,20366,22628,9.9499,5.6395,1
28371,20373,734082,30.8707,6.451,1
28451,20435,333712,44.3459,9.1077,1
30461,21853,22012,4.4721,5.3723,1
30667,22012,338060,29.1776,3.618,1
30998,22263,67049,169.2733,10.0607,1
31000,22263,324754,49.9333,9.8654,1
31492,18086,22600,166.5923,8.8524,1
31980,22945,341479,7.3409,8.2382,1
32121,23045,325873,8.5245,7.9169,2
32577,21853,23384,37.4566,6.1889,1
32578,23384,23560,8.6023,5.6079,1
32614,22754,23412,24.1039,5.8208,1
32836,23560,340794,25.1794,4.9839,1
33085,23737,342484,6.2716,4.9286,1
34382,22945,24634,80.206,7.7776,1
34764,24897,322811,32.9191,5.3417,1
34947,25031,30501,28.3885,8.9003,1
35033,22600,25089,64.0391,8.4853,1
35089,25128,26343,51.9038,10.5477,1
35147,25164,33722,14.2146,16.6105,1
35617,25500,332632,34.5591,5.6691,1
36777,26343,354629,110.529,10.0499,1
37257,26678,348865,31.1073,7.5927,1
37358,26752,353366,51.617,4.729,1
37934,27151,822224,178.5702,5.3735,1
38409,27499,31684,107.4709,8.8296,1
38655,27666,374917,28.8386,9.267,1
38656,27666,47332,19.0263,14.3896,1
38932,22486,27849,31.9192,22.0967,13
38933,27849,680317,35.2775,16.4622,13
39350,28143,35153,69.3065,5.0794,1
39381,28164,350365,16.3325,9.3531,1
39665,28360,29240,49.99,5.6454,1
40318,28827,29757,26.4764,10.4676,8
40663,29062,359930,72.4124,13.3199,8
40833,29182,330305,34.8553,11.8751,8
40924,23778,29240,93.4826,5.9522,1
40978,14687,29282,39.78,6.4683,2
40979,29282,31663,76.1059,5.3452,2
41284,28164,29500,24.2281,5.7358,1
41631,29062,29757,45.0111,11.0434,8
41783,24897,29859,35.1544,7.255,1
42170,30116,43406,28.5754,25.6075,4
42455,30310,688960,67.3391,4.3509,1
42745,30501,48259,149.1729,6.7814,1
43363,30940,362712,82.6648,4.7404,1
43442,30992,348712,171.0318,5.6323,1
43552,31066,354267,17.6792,5.458,1
43690,31164,328984,14.1774,14.4677,1
43936,29500,31326,44.2041,5.2631,1
