edge_id,src,dst,length_um,radius_um,usage
383,257,324176,79.9868,4.0388,1
384,257,319185,31.2232,3.3028,1
668,442,788358,39.2457,5.8407,34
2605,1764,27189,68.9356,5.5649,1
2693,1836,2052,131.0458,3.3904,1
2991,2052,303999,14.7083,2.9568,1
3104,1836,2146,67.0746,3.7199,1
3557,2488,2585,159.5776,5.1627,1
3558,2488,304152,66.9154,3.9241,1
3675,2585,305560,224.9553,4.6997,1
4797,3433,766475,196.7088,4.6904,1
8643,4029,6288,110.6165,5.5,7
8644,6288,18296,20.4641,4.6213,7
8663,6303,6955,56.3649,3.6213,1
9398,6303,6836,70.4911,2.8284,1
9546,6955,312708,13.9553,3.5616,1
10541,7671,243314,46.3849,6.7986,1
10619,7728,236214,6.2093,3.8028,1
13035,9474,315070,48.0625,3.1583,1
15298,11104,318956,38.9915,3.217,1
16523,3433,11995,69.2219,4.9433,1
16524,11995,720951,68.9936,4.9433,1
17429,12632,15311,155.0645,6.3042,1
18186,11876,13176,28.8097,3.2394,1
18187,13176,324852,23.1948,3.7025,1
18933,13718,13773,17.1172,5.3218,1
19009,13773,326450,33.4847,5.4218,1
20155,14596,676330,56.8448,4.9839,4
20556,14877,265434,619.2129,5.5649,1
21182,15311,15542,13.3041,5.0196,1
21500,15524,40920,64.3345,18.2257,2
21523,15542,329521,63.2456,8.7459,1
22058,15922,663293,47.3616,3.2394,1
22060,15922,65432,103.845,4.2426,1
22345,16115,676368,47.3591,3.0495,1
22994,16591,751043,116.4689,5.1515,1
24561,17700,330680,10.8934,5.3852,1
25120,18086,339385,62.9682,8.5149,1
25780,18551,329199,222.2022,9.0,1
26144,17700,18803,24.8395,4.1926,1
26145,18803,343768,228.9896,3.3708,1
27847,19998,38785,37.0037,5.5414,2
30998,22263,67049,169.2733,10.0607,1
31000,22263,324754,49.9333,9.8654,1
31155,22368,333788,84.8508,5.2913,1
31235,22422,329521,201.5829,9.142,1
31300,22463,663705,42.681,3.9324,1
31492,18086,22600,166.5923,8.8524,1
32630,23421,25810,71.5961,4.1078,1
32796,23532,26646,54.827,4.511,1
33273,23869,152050,119.3352,3.8643,1
33422,23964,30070,4.4064,3.9324,1
34177,23532,24485,32.4037,3.7936,1
34916,25010,676975,37.2514,7.806,4
35033,22600,25089,64.0391,8.4853,1
