edge_id,src,dst,length_um,radius_um,usage
593,391,319819,33.0337,8.4091,1
594,391,641,10.8064,10.4093,6
975,641,316775,88.82,11.7681,6
1239,813,438642,11.225,8.765,1
1240,813,506239,12.7279,6.1858,1
1445,946,20615,40.9483,6.8758,1
1461,958,1330,3.7859,5.0794,1
1702,1120,319384,7.6305,12.9428,8
1899,1259,430601,12.261,11.3106,1
1985,1330,322657,22.166,4.2426,1
2208,1491,321206,25.197,6.1401,1
2418,1636,332584,104.5785,6.8759,1
2594,1755,2131,169.8853,3.7025,1
2915,1996,283859,4.761,10.3218,2
3079,2131,303999,39.2173,3.3461,1
3336,2319,236448,6.8232,11.5509,3
4403,3137,305838,99.0067,4.6795,1
4404,3137,305907,17.2723,4.0811,1
4830,3463,649027,86.862,5.8208,1
4831,3463,109331,79.2528,5.6317,1
6069,4399,4876,37.7624,5.8941,1
6604,4805,663170,32.5832,5.0368,1
6605,4805,24795,31.9896,6.9155,1
7421,5150,5383,9.3808,4.7541,1
7779,5643,671947,49.0544,4.2386,1
7781,5643,12129,8.3133,3.5616,1
7882,5714,308485,26.8017,6.4789,1
7883,5714,6875,139.3162,5.5075,1
9038,6568,308745,52.4772,4.6213,1
9398,6303,6836,70.4911,2.8284,1
9451,6875,316336,128.8949,5.5075,1
9836,6568,7172,34.7131,3.7025,1
11109,8080,495278,71.1633,4.8452,3
11580,8427,313411,68.8528,4.4954,1
12205,8863,12177,9.0838,6.6264,1
12206,8864,322610,6.549,12.2505,11
12278,8912,237600,3.2787,18.3576,3
12279,8912,105872,62.2415,18.0811,3
15822,8427,11505,74.8465,4.4954,1
15823,11505,324282,63.1233,4.4954,1
16041,11655,818694,92.8081,30.2964,5
16042,11655,22486,17.2498,26.9105,5
16781,12177,672233,18.6339,7.4952,1
17429,12632,15311,155.0645,6.3042,1
17941,12996,27988,12.7727,5.0815,2
17965,1491,13013,118.1637,6.8416,1
17966,13013,329327,82.6357,7.3247,1
18933,13718,13773,17.1172,5.3218,1
19009,13773,326450,33.4847,5.4218,1
19559,14174,322095,59.2274,8.717,1
19560,14174,14175,7.8102,8.6023,1
19602,14208,320670,102.521,6.8919,1
19603,14208,324717,25.4602,5.6541,1
20289,14687,324140,5.1208,8.1542,3
20460,14812,325047,92.8565,7.6174,1
20461,14812,15010,8.775,8.8318,1
20477,14823,324282,17.4801,3.9822,1
20685,14961,325584,5.85,8.1126,1
20738,14998,338284,221.5121,7.4736,5
20739,14998,321224,14.3047,7.5886,5
20755,15010,326324,27.7288,8.9159,1
21112,12207,15263,122.6907,8.0505,1
21113,15263,328513,32.573,7.3079,1
21182,15311,15542,13.3041,5.0196,1
21500,15524,40920,64.3345,18.2257,2
21523,15542,329521,63.2456,8.7459,1
22210,16026,332311,116.7019,7.6368,1
22345,16115,676368,47.3591,3.0495,1
22771,14823,16420,29.1376,4.729,1
22965,16571,322236,82.9823,4.241,1
23168,16717,328513,25.8586,8.672,1
23169,16717,18364,78.2368,9.8625,1
23973,17285,327742,56.6863,6.8525,1
24209,17444,326207,58.0546,4.1078,1
24908,17285,17932,59.279,5.1515,1
25120,18086,339385,62.9682,8.5149,1
26126,18789,327720,135.8768,7.3849,1
26127,18789,344326,87.7224,9.1077,1
26818,19271,332623,27.9165,6.8206,1
27245,19566,683992,83.9764,15.103,4
28207,11849,20255,5.3852,3.9324,1
28208,20255,242784,30.26,3.8643,1
28451,20435,333712,44.3459,9.1077,1
28700,20615,44456,46.1957,7.8575,1
30998,22263,67049,169.2733,10.0607,1
31000,22263,324754,49.9333,9.8654,1
31235,22422,329521,201.5829,9.142,1
31451,22569,340505,17.6446,4.1829,1
31492,18086,22600,166.5923,8.8524,1
32121,23045,325873,8.5245,7.9169,3
34947,25031,30501,28.3885,8.9003,1
35033,22600,25089,64.0391,8.4853,1
35089,25128,26343,51.9038,10.5477,1
35710,25564,26015,101.5972,6.3121,1
36325,26015,26157,3.0,6.8896,1
36517,26157,27892,171.2484,6.4078,1
36520,25564,26159,41.7852,6.4221,1
36777,26343,354629,110.529,10.0499,1
36869,26410,349881,28.8386,5.6081,1
36891,26159,26424,5.6569,6.3796,1
36892,26424,30031,60.3738,5.7439,1
36978,26481,348762,49.5816,5.3723,1
37257,26678,348865,31.1073,7.5927,1
38026,24795,27218,6.6081,8.5826,1
38409,27499,31684,107.4709,8.8296,1
38932,22486,27849,31.9192,22.0967,5
38933,27849,680317,35.2775,16.4622,5
39132,27988,816955,39.0185,6.8843,2
39350,28143,35153,69.3065,5.0794,1
40179,28728,348762,30.8221,5.7878,1
40318,28827,29757,26.4764,10.4676,3
40663,29062,359930,72.4124,13.3199,3
40833,29182,330305,34.8553,11.8751,11
40977,29282,328137,27.8268,4.6904,2
40978,14687,29282,39.78,6.4683,3
40979,29282,31663,76.1059,5.3452,1
41631,29062,29757,45.0111,11.0434,3
41659,29781,30550,85.5745,5.2035,1
42447,30305,671511,44.116,4.2426,1
42448,30305,684195,48.455,3.9921,1
42455,30310,688960,67.3391,4.3509,1
42745,30501,48259,149.1729,6.7814,1
42805,30550,30963,25.0998,6.2838,1
42955,30657,354610,58.6032,5.8407,1
43398,30963,348659,71.6798,5.7996,1
43538,30031,31057,33.1964,5.3779,1
43690,31164,328984,14.1774,14.4677,8
44225,31540,355749,4.6547,12.6577,3
44387,31663,40573,21.8632,5.0616,1
44501,28728,31743,62.6099,4.7182,1
45137,31540,32192,28.0891,16.4062,3
45348,32340,356945,8.2597,10.2328,1
45349,32340,358011,10.779,11.9044,1
45470,32426,34284,39.1663,12.4961,1
45478,32192,32432,8.3666,19.6469,3
45561,32485,44177,156.7833,6.2264,1
45576,32302,32497,16.1555,11.025,1
45884,32709,357045,7.5719,10.4375,10
46138,31743,32893,30.4302,5.3383,1
46538,33189,346906,163.3136,5.8941,5
47128,32432,33610,31.8434,18.5682,3
47234,33610,33694,32.3265,18.9056,3
47235,33694,359929,9.8489,19.5277,3
47272,33719,38833,14.4847,10.0884,1
47397,26671,33803,90.6697,7.7568,1
47590,33939,35361,26.1916,10.0826,1
48082,34284,361280,14.5488,13.6002,1
48343,34460,359755,15.5421,20.6582,3
48431,17444,34531,32.7554,3.7199,1
48432,34531,331472,37.9506,4.1231,1
48499,33803,34586,18.0555,6.03,1
48804,34797,360449,13.2539,20.8213,3
49305,35153,325722,25.1263,4.3723,1
49495,35293,361194,44.4247,2.6992,1
49496,35293,365042,30.5287,3.3839,1
49526,35312,35481,5.7446,9.2195,10
49597,35361,37401,25.807,11.3524,1
49766,35481,361488,8.2462,9.9248,1
49767,35481,40312,83.3847,9.5595,9
50108,35714,361478,29.0956,9.2644,1
50199,35780,359899,53.4252,7.458,1
50328,35865,43911,28.5164,17.0774,4
50563,36039,361717,17.9536,21.2715,3
50743,36157,36622,13.8924,6.7371,1
51440,36622,354610,172.0339,6.9267,1
51466,36640,329678,9.7125,12.904,15
51531,36688,331381,12.51,6.7336,1
51537,36694,57788,189.591,19.141,4
51602,36739,814459,50.02,6.3244,1
52025,37035,679168,14.8099,9.6285,4
52354,32893,37281,86.2902,8.2525,1
52524,37401,366449,8.2462,11.2142,1
52572,37431,40154,53.647,19.6359,1
52625,37472,289099,27.3861,6.8006,2
52626,37472,289497,26.0384,9.3771,2
53273,37920,362748,71.147,7.2016,1
53636,38178,366598,13.3915,14.5158,1
53860,38332,328352,68.2463,6.8239,1
54022,36157,38449,82.1949,5.8941,1
54205,38588,52718,18.4484,4.8341,1
54229,38605,674535,32.8215,13.2249,9
54230,38605,47414,16.9648,14.6486,9
54362,38698,366587,20.8087,21.3822,3
54554,38833,53133,32.7423,9.9102,1
55007,39165,54475,39.6569,15.9948,15
55105,39239,39392,2.4495,11.9364,3
55326,39392,370997,19.8382,13.4746,3
55460,39486,367014,23.7253,5.9036,1
55654,39624,366449,29.2347,12.8619,1
55655,39624,39696,5.4772,15.3422,1
56161,39971,372121,28.5073,7.5799,1
56162,39971,375056,29.0,5.0083,1
56422,40154,40780,10.0499,25.2818,1
56743,40371,372424,15.5242,9.5647,9
56820,39696,40422,17.5499,13.5211,1
56822,40422,41279,13.9284,12.0428,1
56947,40506,329746,34.7515,8.0469,3
57038,40573,333662,37.3988,6.1236,1
57350,38698,40780,41.6293,24.0617,3
57425,40832,433602,41.8277,23.4207,1
57541,40920,342137,141.2657,13.943,2
57576,40944,680317,5.2281,14.4542,5
57652,40780,40999,2.4495,25.075,2
57653,40999,373495,10.6301,25.075,2
57787,41085,244034,17.243,2.2247,1
57837,41121,240205,14.1303,6.0895,2
57838,41121,244036,10.9545,5.3218,2
57868,41143,371711,21.3828,9.434,9
58056,41279,376428,31.3369,11.1074,1
58139,41338,289266,30.499,11.8851,5
59072,42017,42887,35.609,9.7333,1
59881,42583,373962,31.8434,7.3012,1
59882,42583,375472,3.8586,8.6601,1
60053,42706,684865,24.2464,21.8458,1
60054,42706,674536,31.8416,21.6279,1
60301,42887,378401,31.7683,9.8669,1
60411,38588,42972,42.8284,4.4009,1
60520,43049,243348,10.4403,6.2264,1
