uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,7103486,5570027,bfs,702,8865.5788,4.6124
src1_length,1,7103486,5570027,length,835,7579.9513,9.2363
src1_resistance,1,7103486,5570027,resistance,1505,10759.2446,12.3342
src1_radius,1,7103486,5570027,radius,1469,10349.1644,12.4795
src2_bfs,2,262660,5570027,bfs,734,8995.0932,5.5011
src2_length,2,262660,5570027,length,827,8192.2691,4.8306
src2_resistance,2,262660,5570027,resistance,2770,15588.2697,10.47
src2_radius,2,262660,5570027,radius,1656,13910.4145,11.7594
src3_bfs,3,3107321,5570027,bfs,483,5707.5571,4.7941
src3_length,3,3107321,5570027,length,725,5082.7028,4.0999
src3_resistance,3,3107321,5570027,resistance,1641,8774.9137,12.9686
src3_radius,3,3107321,5570027,radius,1615,8691.0817,13.1143
src4_bfs,4,2941526,5570027,bfs,232,2691.9553,4.9852
src4_length,4,2941526,5570027,length,351,2482.8423,6.7473
src4_resistance,4,2941526,5570027,resistance,866,6097.9931,13.3632
src4_radius,4,2941526,5570027,radius,866,6097.9931,13.3632
src5_bfs,5,4721683,5570027,bfs,719,9063.5382,3.947
src5_length,5,4721683,5570027,length,959,8101.5458,5.7589
src5_resistance,5,4721683,5570027,resistance,2397,15213.1311,11.741
src5_radius,5,4721683,5570027,radius,1794,15606.4349,13.7629
