uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,911256,5570027,bfs,1.475003,7453213,74532,1.0,0.087868,0.688604
src1_length,1,911256,5570027,length,5.140403,7453213,74532,0.812671,0.098817,0.632574
src1_resistance,1,911256,5570027,resistance,5.913975,7453213,74532,0.647266,0.179762,0.752308
src1_radius,1,911256,5570027,radius,6.058373,7453213,74532,0.688604,0.15918,1.0
src2_bfs,2,1727888,5570027,bfs,1.357527,7453213,74532,1.0,0.034388,0.444494
src2_length,2,1727888,5570027,length,4.542111,7453213,74532,0.846294,0.041338,0.40859
src2_resistance,2,1727888,5570027,resistance,5.929654,7453213,74532,0.378938,0.322398,0.758694
src2_radius,2,1727888,5570027,radius,5.790767,7453213,74532,0.444494,0.247142,1.0
src3_bfs,3,807902,5570027,bfs,1.485568,7453213,74532,1.0,0.051897,0.169202
src3_length,3,807902,5570027,length,4.49427,7453213,74532,0.889054,0.052488,0.162574
src3_resistance,3,807902,5570027,resistance,5.618772,7453213,74532,0.133607,0.629099,0.807868
src3_radius,3,807902,5570027,radius,5.754571,7453213,74532,0.169202,0.539889,1.0
src4_bfs,4,7340314,5570027,bfs,1.456795,7453213,74532,1.0,0.080033,0.225353
src4_length,4,7340314,5570027,length,4.506559,7453213,74532,0.866473,0.100467,0.228761
src4_resistance,4,7340314,5570027,resistance,5.600353,7453213,74532,0.182673,0.624524,0.761727
src4_radius,4,7340314,5570027,radius,5.714539,7453213,74532,0.225353,0.520233,1.0
src5_bfs,5,4051769,5570027,bfs,1.428244,7453213,74532,1.0,0.038869,0.184887
src5_length,5,4051769,5570027,length,4.966002,7453213,74532,0.841585,0.040546,0.183492
src5_resistance,5,4051769,5570027,resistance,5.828019,7453213,74532,0.183089,0.03691,0.832247
src5_radius,5,4051769,5570027,radius,5.976769,7453213,74532,0.184887,0.039366,1.0
