uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,4902248,5570027,bfs,1.388435,7453213,74532,1.0,0.008064,0.255112
src1_length,1,4902248,5570027,length,4.618239,7453213,74532,0.766449,0.021306,0.271628
src1_resistance,1,4902248,5570027,resistance,5.627657,7453213,74532,0.2511,0.057022,0.827363
src1_radius,1,4902248,5570027,radius,6.171108,7453213,74532,0.255112,0.056942,1.0
src2_bfs,2,3434273,5570027,bfs,1.288836,7453213,74532,1.0,0.180916,0.226695
src2_length,2,3434273,5570027,length,4.438101,7453213,74532,0.774701,0.224172,0.259459
src2_resistance,2,3434273,5570027,resistance,5.720259,7453213,74532,0.214311,0.689878,0.846724
src2_radius,2,3434273,5570027,radius,5.854487,7453213,74532,0.226695,0.672664,1.0
src3_bfs,3,1074803,5570027,bfs,1.387269,7453213,74532,1.0,0.201591,0.236328
src3_length,3,1074803,5570027,length,4.236921,7453213,74532,0.875718,0.238931,0.246699
src3_resistance,3,1074803,5570027,resistance,5.703504,7453213,74532,0.230988,0.685773,0.822586
src3_radius,3,1074803,5570027,radius,6.013476,7453213,74532,0.236328,0.668384,1.0
src4_bfs,4,1291403,5570027,bfs,1.355873,7453213,74532,1.0,0.034093,0.620686
src4_length,4,1291403,5570027,length,4.825343,7453213,74532,0.772313,0.035193,0.565529
src4_resistance,4,1291403,5570027,resistance,5.467259,7453213,74532,0.560833,0.053118,0.609349
src4_radius,4,1291403,5570027,radius,6.062209,7453213,74532,0.620686,0.069943,1.0
src5_bfs,5,6702524,5570027,bfs,1.372281,7453213,74532,1.0,0.030175,0.108718
src5_length,5,6702524,5570027,length,4.582795,7453213,74532,0.814992,0.03628,0.126644
src5_resistance,5,6702524,5570027,resistance,5.632065,7453213,74532,0.076638,0.336191,0.762478
src5_radius,5,6702524,5570027,radius,5.890297,7453213,74532,0.108718,0.287085,1.0
