uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,5162080,5570027,bfs,411,2761.0876,7.0351
src1_length,1,5162080,5570027,length,426,2610.449,6.5703
src1_resistance,1,5162080,5570027,resistance,914,3329.817,11.1309
src1_radius,1,5162080,5570027,radius,640,3362.6697,13.8419
src2_bfs,2,4998123,5570027,bfs,622,6318.3944,6.8755
src2_length,2,4998123,5570027,length,922,5555.9256,5.9533
src2_resistance,2,4998123,5570027,resistance,2229,11141.2378,12.009
src2_radius,2,4998123,5570027,radius,1481,9097.1714,12.9512
src3_bfs,3,1546356,5570027,bfs,666,7931.7734,4.9315
src3_length,3,1546356,5570027,length,797,6985.0354,4.4844
src3_resistance,3,1546356,5570027,resistance,2846,15620.7667,10.5081
src3_radius,3,1546356,5570027,radius,2099,15843.9679,11.696
src4_bfs,4,927046,5570027,bfs,589,7429.5843,5.955
src4_length,4,927046,5570027,length,674,6802.7674,4.8715
src4_resistance,4,927046,5570027,resistance,2570,15605.468,11.6832
src4_radius,4,927046,5570027,radius,1349,11756.6138,12.0569
src5_bfs,5,181678,5570027,bfs,756,8984.3732,4.9067
src5_length,5,181678,5570027,length,841,8330.2066,4.4756
src5_resistance,5,181678,5570027,resistance,2693,14757.3488,10.2193
src5_radius,5,181678,5570027,radius,1946,14980.5499,11.3897
