edge_id,src,dst,length_um,radius_um,usage
319,254,1465,1.4142,5.7446,1
320,254,255,1.4142,5.9545,1
690,585,3638737,3.6968,12.0889,11
767,651,3649709,18.0462,6.6571,4
776,659,2065,8.2529,5.2881,2
1236,1045,509949,5.099,7.5166,2
1373,1172,3643584,4.6428,9.2418,4
1444,1232,3651144,11.2546,5.5468,4
1544,1304,3666199,17.5784,4.3509,2
1708,1441,3647934,10.7186,11.2691,11
1737,1465,2703,1.7321,5.7446,1
1780,1502,3547233,10.6301,7.6553,1
1865,1579,2545,7.7889,4.9495,2
2122,1790,3646541,20.199,10.4371,4
2433,2042,2043,1.0,6.8804,1
2434,2043,3415,1.4142,7.3143,1
2435,2044,10830,5.099,2.9889,1
2457,2065,3655849,10.0277,4.8002,2
2679,2255,338929,4.899,8.2281,2
2680,2255,31372,6.4031,6.9228,2
2752,2322,72019,6.7823,14.1711,5
3046,2545,3651217,6.5064,4.1078,2
3233,2703,4239,1.7321,5.9545,1
3401,2858,3812000,6.7103,5.2035,2
3403,2858,1966501,9.714,5.2035,2
3722,3142,3653193,4.1674,12.9835,18
4036,3415,27362,4.3589,6.8758,1
4300,3662,4573759,5.1962,11.2236,1
4301,3662,3663,7.0711,11.4888,1
4302,3663,3664,2.2361,11.1029,1
4311,3671,7360905,15.748,4.977,1
4422,3776,3660157,5.9442,6.3541,2
4637,3971,3653406,1.8856,10.8851,1
4940,4239,7335,2.2361,5.9106,1
4993,4292,213778,17.4929,9.7162,1
4997,1502,4296,10.9545,8.6313,1
4999,4298,2973950,11.8743,6.4031,1
6269,5462,3656559,1.8257,18.6273,2
6794,5961,12682,6.4807,11.0216,1
6807,5974,4135886,8.7464,8.5311,1
7317,6455,3675461,18.1537,4.8002,2
7318,6455,3664932,12.1883,4.9338,2
8257,7335,82740,5.6569,5.7865,1
10702,9702,83391,2.4495,7.5148,1
10879,9873,7503555,4.6904,11.8115,7
10911,9905,7505541,8.124,17.3452,7
11868,10830,27291,4.1231,2.618,1
13162,12089,12090,1.4142,4.0616,1
13373,12298,12299,1.0,4.2976,1
13374,12089,12299,3.7417,4.2976,1
13469,12390,7503698,4.5826,7.2327,1
13567,12298,12486,1.7321,4.0616,1
13657,12575,12680,6.4031,4.3523,1
13759,12680,30904,5.7446,3.8643,1
13761,12682,4984592,6.1373,11.6524,1
13765,12686,12837,4.5826,3.9324,1
13918,12686,12836,2.4495,4.3203,1
13919,12837,12838,4.2426,3.6427,1
13920,12838,13020,2.4495,3.1623,1
13921,12486,12839,6.7082,4.1213,1
14104,12836,13019,3.1623,5.5317,1
14105,13020,13382,3.4641,3.1623,1
14106,12839,13021,6.4807,4.2426,1
14287,13199,13200,1.0,4.4126,1
14288,13021,13200,3.0,4.4126,1
14481,13019,13381,2.8284,6.1644,1
14482,13381,14850,11.0905,7.0822,1
14483,13382,13575,5.099,3.5811,1
14484,13199,13383,5.099,4.1829,1
14680,13575,13576,1.4142,4.0,1
14681,13576,13577,1.4142,4.0,1
14682,13577,13578,1.4142,4.0,1
14683,13578,13579,1.0,3.8708,1
14684,13579,13580,1.4142,3.6736,1
14685,13580,13581,2.8284,3.4611,1
14686,13581,13582,1.0,3.4611,1
