edge_id,src,dst,length_um,radius_um,usage
290,227,4028456,4.6547,6.3121,1
498,427,3268200,10.0995,2.618,1
850,714,320415,23.4307,3.0,1
1157,975,2187,1.4142,5.2421,1
1241,1050,1703491,13.0,3.5616,1
1490,1266,3654871,12.037,7.1443,18
1915,427,1624,9.9499,2.2361,1
2435,2044,10830,5.099,2.9889,1
2604,2187,5859,2.2361,5.1476,1
2713,2287,31682,5.6569,5.0981,1
3488,1624,2933,10.8628,2.5322,1
4648,3977,3649029,8.4459,3.4611,1
4649,3977,3658154,5.2599,3.3166,1
6689,5859,12290,1.4142,5.1962,1
6808,5975,159339,8.0623,10.6374,1
7151,6300,6451562,22.0983,3.5616,1
7152,6300,6474935,5.2281,3.3708,1
7161,6309,6468736,2.925,8.1796,1
8151,227,7230,7.2801,5.8735,1
8188,7267,775602,7.2801,3.7594,1
8241,7319,7498474,8.8318,4.1815,1
8549,7618,7496670,1.7321,7.5771,1
8843,7916,5998190,19.9499,2.639,1
10056,9092,364447,12.3693,2.8284,1
10150,9184,9287,1.4142,5.4772,1
10256,9287,7467225,4.2426,5.78,1
11868,10830,27291,4.1231,2.618,1
13043,11968,126519,9.6954,6.8758,1
13048,11968,11973,11.7047,5.3229,1
13169,12096,4394304,5.9722,7.6811,1
13366,12290,30454,1.0,5.1476,1
14505,13404,13418,1.0,6.2838,1
14519,13418,174264,1.7321,6.5822,1
14580,13404,13476,1.4142,6.4031,1
14599,13495,13504,1.0,6.5182,1
14608,13476,13504,1.4142,6.4031,1
15524,14413,3665741,4.0415,5.1926,1
15786,14659,14661,2.2361,6.2838,1
15788,14661,14663,2.8284,6.2838,1
15789,14663,14664,1.4142,5.9977,1
15802,14677,1235545,11.6619,3.2394,1
15922,14795,1235752,9.434,3.9324,1
16003,14664,14878,3.3166,6.117,1
16005,14878,14880,1.0,6.7016,1
16006,14880,14881,1.4142,6.8541,1
16207,14881,15080,3.7417,6.8541,1
16208,15080,15081,2.8284,6.5822,1
16693,15081,15533,6.0,6.2445,1
16866,15696,7480634,6.2716,3.0725,1
16936,15533,15753,1.7321,6.3638,1
16937,15753,15754,1.0,6.5182,1
16938,15754,15755,1.4142,6.4789,1
17947,15755,16745,12.0,6.5164,1
17948,16745,16746,1.0,6.6707,1
17949,16746,16747,1.4142,6.2747,1
18189,16747,16984,1.7321,6.1203,1
18396,16984,17184,1.7321,6.2445,1
18397,17184,17185,1.4142,6.1644,1
18877,17185,17659,5.3852,6.2838,1
18878,17659,17660,1.4142,6.2429,1
19109,17660,17885,3.0,6.2037,1
19374,17885,18138,1.7321,6.3638,1
19596,18138,18357,5.099,6.2838,1
19843,18357,18598,1.7321,6.2445,1
19844,18598,18599,1.4142,6.1203,1
19845,18599,18600,1.4142,5.6506,1
20093,18600,18845,4.3589,4.9839,1
