edge_id,src,dst,length_um,radius_um,usage
319,254,1465,1.4142,5.7446,1
320,254,255,1.4142,5.9545,1
453,384,248103,13.4907,6.6472,1
690,585,3638737,3.6968,12.0889,7
753,638,1845,1.4142,4.7947,1
767,651,3649709,18.0462,6.6571,4
776,659,2065,8.2529,5.2881,1
1193,1008,2230,2.2361,5.9569,1
1236,1045,509949,5.099,7.5166,1
1373,1172,3643584,4.6428,9.2418,4
1444,1232,3651144,11.2546,5.5468,4
1708,1441,3647934,10.7186,11.2691,7
1737,1465,2703,1.7321,5.7446,1
1865,1579,2545,7.7889,4.9495,3
2122,1790,3646541,20.199,10.4371,4
2193,1845,3209,2.2361,4.8452,1
2280,1913,98495,9.2736,17.1707,1
2457,2065,3655849,10.0277,4.8002,1
2648,2226,3632,3.3166,5.2881,1
2649,2226,2228,2.2361,5.6967,1
2651,2228,2230,3.1623,5.8735,1
2679,2255,338929,4.899,8.2281,1
2752,2322,72019,6.7823,14.1711,4
3046,2545,3651217,6.5064,4.1078,3
3233,2703,4239,1.7321,5.9545,1
3722,3142,3653193,4.1674,12.9835,15
3804,3209,25337,4.3589,4.6795,1
4268,3632,5875,1.7321,5.2881,1
4752,4068,38747,5.5176,15.7311,1
4940,4239,7335,2.2361,5.9106,1
6705,5874,12480,3.1623,5.7446,1
6706,5874,5875,1.0,5.6109,1
6811,5978,12854,7.3485,9.4278,1
7274,6418,6473598,3.7859,8.2738,1
7317,6455,3675461,18.1537,4.8002,1
7318,6455,3664932,12.1883,4.9338,1
7836,6927,3315870,4.761,10.3218,2
8257,7335,82740,5.6569,5.7865,1
10879,9873,7503555,4.6904,11.8115,7
10911,9905,7505541,8.124,17.3452,7
11027,10014,424991,15.0333,3.5616,1
11500,10468,10651,1.7321,7.0,1
11501,10468,10469,1.0,7.0,1
11502,10469,10470,1.4142,7.0355,1
11503,10470,10471,1.0,7.0711,1
11504,10471,10472,1.4142,7.1756,1
11505,10472,10473,5.0,7.2801,1
11506,10473,10474,2.2361,7.2801,1
11507,10474,10475,1.4142,7.2108,1
11508,10475,10476,1.4142,7.3456,1
11509,10476,10477,1.0,7.5828,1
11510,10477,10478,3.0,7.9006,1
11511,10478,10479,1.4142,8.4802,1
11512,10479,10480,2.0,8.8875,1
11513,10480,10481,1.0,8.9721,1
11685,10649,10838,3.0,7.1756,1
11686,10649,10650,1.4142,7.2108,1
11687,10650,10651,1.4142,7.0707,1
11688,10481,10652,1.4142,9.1089,1
11689,10653,3517458,3.2998,9.5394,1
11872,10835,11014,3.0,7.1742,1
11873,10835,10836,1.4142,7.1401,1
11874,10836,10837,1.4142,7.2801,1
11875,10837,10838,1.4142,7.1756,1
11880,10653,10841,5.099,9.5131,1
12060,11014,11194,4.3589,7.2098,1
12063,11017,11018,1.0,9.6414,1
12064,10841,11018,3.0,9.6678,1
12250,11191,11412,4.3589,7.0312,1
12251,11191,11192,1.4142,6.9267,1
12252,11192,11193,2.8284,7.0711,1
12253,11193,11194,1.0,7.0711,1
12257,11017,11197,5.7446,9.1891,1
12469,11409,11616,2.4495,7.0654,1
12470,11409,11410,1.4142,6.8912,1
12472,11410,11412,1.4142,7.1401,1
