edge_id,src,dst,length_um,radius_um,usage
969,807,3634613,6.4464,2.6992,1
1373,1172,3643584,4.6428,9.2418,1
1486,1262,3635372,8.1172,4.899,2
1490,1266,3654871,12.037,7.1443,19
1656,1395,5132370,8.2462,4.7541,1
2122,1790,3646541,20.199,10.4371,1
2486,2088,3482,8.3066,3.0725,2
3036,2537,3649638,15.748,5.5495,1
3576,3012,3649621,9.8432,6.5182,1
3605,3039,3663360,19.0788,4.8452,1
3622,3056,3639109,16.7498,3.1796,1
4113,3482,5055530,9.2916,3.7199,2
4648,3977,3649029,8.4459,3.4611,1
4649,3977,3658154,5.2599,3.3166,1
7151,6300,6451562,22.0983,3.5616,1
7152,6300,6474935,5.2281,3.3708,1
7345,6476,3680508,23.5173,4.1068,1
7902,6988,3652501,14.7158,3.8028,1
8035,7118,3657204,13.136,5.1636,1
8254,7332,41982,2.4495,3.2394,1
10432,9447,9448,12.1655,2.0,1
10433,9448,9585,8.3066,2.118,1
10577,9585,9988,12.083,2.3428,1
11000,9988,11664,13.3417,3.516,1
12729,11664,3522307,7.8102,4.0233,1
14799,13694,3522307,16.5831,3.3132,1
15524,14413,3665741,4.0415,5.1926,1
16837,15669,3661780,2.1344,4.7361,1
17298,13694,16106,16.5529,3.452,1
20436,16106,19176,16.6733,3.7417,1
22383,21080,3529570,4.9666,4.0941,1
22664,21080,21358,4.3589,3.3839,1
23282,21358,21963,5.3852,3.3839,1
23283,21963,21964,4.2426,3.3839,1
24232,21964,22879,10.4881,3.452,1
24886,22879,23508,9.6954,3.5291,1
26066,23508,24644,9.1652,3.1583,1
26858,25414,2926547,9.9563,5.477,1
26969,24644,25523,10.4881,3.6795,1
27580,25523,26126,4.1231,3.6795,1
28566,26126,27091,4.6904,3.3028,1
29295,27091,27799,3.4641,3.6056,1
31580,30027,3542315,7.6376,4.5826,1
33059,30027,31472,8.6023,4.1621,1
35123,31472,33474,8.6603,4.1621,1
37380,35665,3668515,9.7411,3.3708,1
38637,36883,3547028,10.4163,5.0981,1
39045,36883,37275,8.6023,5.0476,1
