uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,4721718,5570027,bfs,1.684164,7453213,74532,1.0,0.145656,0.223984
src1_length,1,4721718,5570027,length,7.137483,7453213,74532,0.859993,0.176917,0.238448
src1_resistance,1,4721718,5570027,resistance,8.287477,7453213,74532,0.22169,0.672651,0.814925
src1_radius,1,4721718,5570027,radius,8.617204,7453213,74532,0.223984,0.664681,1.0
src2_bfs,2,959796,5570027,bfs,1.814882,7453213,74532,1.0,0.114193,0.249222
src2_length,2,959796,5570027,length,7.13769,7453213,74532,0.873034,0.079496,0.213143
src2_resistance,2,959796,5570027,resistance,8.393044,7453213,74532,0.150392,0.638652,0.774285
src2_radius,2,959796,5570027,radius,8.58571,7453213,74532,0.249222,0.539084,1.0
src3_bfs,3,140596,5570027,bfs,1.703303,7453213,74532,1.0,0.07323,0.453872
src3_length,3,140596,5570027,length,7.286736,7453213,74532,0.849112,0.091397,0.459722
src3_resistance,3,140596,5570027,resistance,8.256691,7453213,74532,0.417619,0.144274,0.735563
src3_radius,3,140596,5570027,radius,8.387034,7453213,74532,0.453872,0.158616,1.0
src4_bfs,4,2807718,5570027,bfs,1.725229,7453213,74532,1.0,0.038011,0.450987
src4_length,4,2807718,5570027,length,7.129948,7453213,74532,0.787219,0.057546,0.426636
src4_resistance,4,2807718,5570027,resistance,8.185495,7453213,74532,0.381018,0.332193,0.706354
src4_radius,4,2807718,5570027,radius,8.538053,7453213,74532,0.450987,0.273829,1.0
src5_bfs,5,3283736,5570027,bfs,1.860152,7453213,74532,1.0,0.01331,0.226158
src5_length,5,3283736,5570027,length,7.566056,7453213,74532,0.881876,0.02293,0.207267
src5_resistance,5,3283736,5570027,resistance,8.594384,7453213,74532,0.188188,0.078101,0.561705
src5_radius,5,3283736,5570027,radius,8.525675,7453213,74532,0.226158,0.106599,1.0
