uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,4721718,5570027,bfs,736,9106.0195,4.0612
src1_length,1,4721718,5570027,length,845,8437.8566,4.4633
src1_resistance,1,4721718,5570027,resistance,2315,14153.0223,11.7776
src1_radius,1,4721718,5570027,radius,1660,15068.7701,14.2001
src2_bfs,2,959796,5570027,bfs,675,8182.3535,5.4736
src2_length,2,959796,5570027,length,857,7429.1536,5.546
src2_resistance,2,959796,5570027,resistance,2729,15066.1632,10.535
src2_radius,2,959796,5570027,radius,1818,13961.9908,11.7709
src3_bfs,3,140596,5570027,bfs,883,10752.0707,5.4276
src3_length,3,140596,5570027,length,1711,9525.2837,6.9075
src3_resistance,3,140596,5570027,resistance,2514,17310.0867,10.6522
src3_radius,3,140596,5570027,radius,1340,12751.5403,9.5771
src4_bfs,4,2807718,5570027,bfs,411,5351.5275,5.0372
src4_length,4,2807718,5570027,length,561,4427.787,6.1771
src4_resistance,4,2807718,5570027,resistance,1449,8134.3647,13.0301
src4_radius,4,2807718,5570027,radius,1260,8129.4764,13.9351
src5_bfs,5,3283736,5570027,bfs,300,3401.9552,5.6353
src5_length,5,3283736,5570027,length,326,3181.4887,4.6632
src5_resistance,5,3283736,5570027,resistance,1059,5480.9809,10.4136
src5_radius,5,3283736,5570027,radius,597,5153.2914,11.2978
