uid,source_index,source_node,target_node,method,runtime_s,reachable_nodes,front_1pct_nodes,front_1pct_overlap_with_bfs,front_1pct_artery_fraction,front_1pct_overlap_with_radius
src1_bfs,1,5162080,5570027,bfs,1.353127,7453213,74532,1.0,0.019575,0.12561
src1_length,1,5162080,5570027,length,4.951527,7453213,74532,0.754065,0.030537,0.107645
src1_resistance,1,5162080,5570027,resistance,5.657151,7453213,74532,0.102332,0.354237,0.581066
src1_radius,1,5162080,5570027,radius,5.906571,7453213,74532,0.12561,0.242715,1.0
src2_bfs,2,4998123,5570027,bfs,1.369191,7453213,74532,1.0,0.010667,0.233658
src2_length,2,4998123,5570027,length,5.151396,7453213,74532,0.781195,0.020273,0.256628
src2_resistance,2,4998123,5570027,resistance,6.378273,7453213,74532,0.197741,0.035582,0.803923
src2_radius,2,4998123,5570027,radius,6.062131,7453213,74532,0.233658,0.044961,1.0
src3_bfs,3,1546356,5570027,bfs,1.34905,7453213,74532,1.0,0.063986,0.118271
src3_length,3,1546356,5570027,length,4.26774,7453213,74532,0.915446,0.079845,0.129904
src3_resistance,3,1546356,5570027,resistance,5.540163,7453213,74532,0.086419,0.638075,0.793834
src3_radius,3,1546356,5570027,radius,5.706514,7453213,74532,0.118271,0.543981,1.0
src4_bfs,4,927046,5570027,bfs,1.339526,7453213,74532,1.0,0.232585,0.288118
src4_length,4,927046,5570027,length,4.162462,7453213,74532,0.762639,0.271642,0.305077
src4_resistance,4,927046,5570027,resistance,5.344821,7453213,74532,0.265309,0.640973,0.801387
src4_radius,4,927046,5570027,radius,5.496834,7453213,74532,0.288118,0.556741,1.0
src5_bfs,5,181678,5570027,bfs,1.289836,7453213,74532,1.0,0.170128,0.166573
src5_length,5,181678,5570027,length,4.371654,7453213,74532,0.909448,0.197419,0.168518
src5_resistance,5,181678,5570027,resistance,5.409249,7453213,74532,0.105619,0.642986,0.778699
src5_radius,5,181678,5570027,radius,5.510713,7453213,74532,0.166573,0.559625,1.0
