uid,source_index,source_node,target_node,method,path_hops,path_length_um,path_mean_radius_um
src1_bfs,1,5956007,5570027,bfs,193,3281.7506,7.6409
src1_length,1,5956007,5570027,length,330,2406.3868,5.542
src1_resistance,1,5956007,5570027,resistance,673,3861.1278,14.7706
src1_radius,1,5956007,5570027,radius,669,3836.1656,14.8487
src2_bfs,2,5912870,5570027,bfs,200,3326.7003,8.5878
src2_length,2,5912870,5570027,length,337,2451.3365,6.1476
src2_resistance,2,5912870,5570027,resistance,680,3906.0775,14.9757
src2_radius,2,5912870,5570027,radius,676,3881.1154,15.0543
src3_bfs,3,219594,5570027,bfs,771,9696.1987,5.4749
src3_length,3,219594,5570027,length,1159,8202.3616,5.0731
src3_resistance,3,219594,5570027,resistance,2580,16792.3235,10.5778
src3_radius,3,219594,5570027,radius,2193,15912.7977,11.1615
src4_bfs,4,4088543,5570027,bfs,281,2717.8943,6.9835
src4_length,4,4088543,5570027,length,330,2032.345,9.2725
src4_resistance,4,4088543,5570027,resistance,568,4133.7869,15.3589
src4_radius,4,4088543,5570027,radius,568,4133.7869,15.3589
src5_bfs,5,5228026,5570027,bfs,259,3224.7281,4.9807
src5_length,5,5228026,5570027,length,277,2672.9241,5.4169
src5_resistance,5,5228026,5570027,resistance,545,3648.6971,11.5804
src5_radius,5,5228026,5570027,radius,545,3648.6971,11.5804
