edge_id,src,dst,length_um,radius_um,usage
442,373,374,1.0,6.5945,1
443,374,375,1.0,6.7453,1
444,375,1583,3.3166,7.0312,1
445,373,376,1.4142,6.6315,1
446,377,378,1.0,7.1062,1
447,376,378,2.2361,6.9619,1
450,377,381,4.4721,7.4407,1
451,381,382,1.4142,7.68,1
522,446,3417811,12.5167,4.1795,2
532,454,6178393,9.5394,5.6109,2
690,585,3638737,3.6968,12.0889,5
753,638,1845,1.4142,4.7947,1
1108,928,3533,2.4495,4.999,1
1157,975,2187,1.4142,5.2421,1
1236,1045,509949,5.099,7.5166,1
1298,1102,2344,1.7321,6.5557,2
1708,1441,3647934,10.7186,11.2691,5
1769,1491,270863,18.0555,5.7007,1
1780,1502,3547233,10.6301,7.6553,1
1870,1582,2860,1.4142,6.6623,1
1871,1582,1583,2.8284,6.8023,1
2193,1845,3209,2.2361,4.8452,1
2280,1913,98495,9.2736,17.1707,1
2435,2044,10830,5.099,2.9889,3
2604,2187,5859,2.2361,5.1476,1
2679,2255,338929,4.899,8.2281,1
2680,2255,31372,6.4031,6.9228,1
2713,2287,31682,5.6569,5.0981,1
2752,2322,72019,6.7823,14.1711,13
2781,2344,6145,3.4641,6.2838,2
3401,2858,3812000,6.7103,5.2035,1
3403,2858,1966501,9.714,5.2035,1
3406,2860,4464,3.7417,6.5822,1
3601,3035,95891,18.1934,5.0822,2
3722,3142,3653193,4.1674,12.9835,23
3804,3209,25337,4.3589,4.6795,1
4165,3533,11500,2.8284,5.099,1
4300,3662,4573759,5.1962,11.2236,1
4301,3662,3663,7.0711,11.4888,1
4302,3663,3664,2.2361,11.1029,1
4311,3671,7360905,15.748,4.977,1
4993,4292,213778,17.4929,9.7162,1
4997,1502,4296,10.9545,8.6313,1
4999,4298,2973950,11.8743,6.4031,1
5160,4458,8042,2.4495,6.2445,1
5163,4458,4460,1.4142,6.2445,1
5167,4460,4464,1.4142,6.2445,1
6269,5462,3656559,1.8257,18.6273,1
6689,5859,12290,1.4142,5.1962,1
6794,5961,12682,6.4807,11.0216,1
6807,5974,4135886,8.7464,8.5311,1
6989,6145,13481,1.7321,5.9545,2
7161,6309,6468736,2.925,8.1796,1
8549,7618,7496670,1.7321,7.5771,1
8973,8042,8043,1.0,6.3246,1
8974,8043,20342,3.3166,6.0778,1
10150,9184,9287,1.4142,5.4772,1
10256,9287,7467225,4.2426,5.78,1
10878,9873,45965,4.3589,13.8361,1
10879,9873,7503555,4.6904,11.8115,20
10911,9905,7505541,8.124,17.3452,19
10930,9923,2916965,4.6882,18.33,1
11027,10014,424991,15.0333,3.5616,1
11868,10830,27291,4.1231,2.618,3
12565,11500,102725,8.124,5.2421,1
13169,12096,4394304,5.9722,7.6811,1
13366,12290,30454,1.0,5.1476,1
13761,12682,4984592,6.1373,11.6524,1
13784,12705,12848,1.4142,6.2429,1
13931,12848,13036,2.4495,6.3638,1
13932,12705,12849,1.4142,6.2037,1
14116,13032,13213,1.7321,7.7119,1
14117,13032,13033,1.0,7.7776,1
14118,13033,13034,1.0,7.6155,1
14119,13034,13035,1.0,7.4491,1
14120,13035,13036,3.1623,6.8365,1
14121,12849,13037,1.7321,6.0778,1
14301,13212,13403,1.4142,8.3323,1
14302,13212,13213,1.4142,8.0761,1
14304,13037,13215,2.4495,5.7439,1
14500,13399,13606,1.4142,8.3323,1
14501,13399,13400,3.0,8.6023,1
14502,13400,13401,1.4142,8.2063,1
14503,13401,13402,1.0,7.8421,1
14504,13402,13403,1.0,7.9681,1
14505,13404,13418,1.0,6.2838,1
14519,13418,174264,1.7321,6.5822,1
14580,13404,13476,1.4142,6.4031,1
14585,13481,51234,2.2361,5.8303,2
14599,13495,13504,1.0,6.5182,1
14608,13476,13504,1.4142,6.4031,1
14704,13599,13803,1.4142,7.4821,1
14705,13599,13600,1.0,7.5148,1
14706,13600,13601,2.0,7.8717,1
14707,13601,13602,2.0,8.0623,1
14708,13602,13603,1.0,8.0932,1
14709,13603,13604,2.0,8.0932,1
14710,13604,13605,1.0,8.0623,1
14711,13605,13606,1.0,8.0623,1
14713,13215,13608,4.1231,5.7439,1
14714,13608,13609,1.0,5.8309,1
14906,13796,14014,1.4142,7.3761,1
14907,13796,13797,1.0,7.1062,1
14908,13797,13798,1.0,7.2449,1
14910,13798,13800,1.0,7.4491,1
14912,13800,13802,1.4142,7.7749,1
14913,13802,13803,3.1623,7.8079,1
14917,13609,13807,2.4495,5.8309,1
15119,14010,14218,1.4142,7.3761,1
15120,14010,14011,2.0,7.1062,1
15121,14011,14012,1.4142,7.3456,1
15122,14012,14013,1.0,7.5166,1
15123,14013,14014,1.4142,7.5822,1
15130,13807,14021,1.7321,6.117,1
15329,14217,14444,1.4142,7.6742,1
15330,14217,14218,3.1623,7.8406,1
15335,14021,14223,3.0,6.7016,1
15336,14223,14224,2.0,6.7404,1
15546,14435,14867,4.6904,7.999,1
15547,14435,14436,1.0,7.9681,1
15548,14436,14437,3.1623,7.9681,1
15550,14437,14439,1.4142,7.999,1
15551,14439,14440,1.0,8.0932,1
15552,14440,14441,3.6056,8.0623,1
15553,14441,14442,1.0,7.9363,1
15554,14442,14443,1.0,7.6468,1
15555,14443,14444,1.4142,7.4159,1
15560,14224,14449,1.7321,6.4807,1
15561,14449,14450,3.6056,6.4419,1
15784,14450,14659,2.4495,6.2838,1
15990,14865,15067,1.7321,7.8717,1
15991,14865,14866,1.4142,8.1542,1
15992,14866,14867,1.4142,8.1851,1
16191,15063,15266,1.4142,7.7119,1
16193,15063,15065,2.2361,7.9681,1
16195,15065,15067,2.8284,7.8717,1
16377,15246,15722,22.1133,7.6018,1
16396,15265,15516,4.3589,7.9363,1
16397,15265,15266,1.4142,7.68,1
16652,15501,3663129,2.708,8.1203,2
16674,15516,15730,7.1414,8.1844,1
16901,15720,16238,7.5498,4.9839,1
16903,15722,16240,13.7477,8.3323,1
16912,15730,15984,2.4495,7.9939,1
17173,15983,16250,3.0,8.5134,1
17174,15983,15984,2.8284,8.0239,1
17432,16238,16718,8.3066,4.9839,1
17434,16240,16965,19.0263,8.3632,1
17443,16250,16497,4.2426,8.2671,1
17696,16496,16735,1.7321,7.8102,1
17697,16496,16497,2.2361,7.8421,1
17920,16718,16954,7.1414,4.7913,1
17934,16732,16974,3.7417,8.2153,1
17935,16732,16733,3.1623,8.1547,1
17936,16733,16734,1.4142,8.1853,1
17937,16734,16735,1.4142,7.9978,1
18160,16954,3527670,8.0139,5.6623,1
18167,16961,210416,15.2971,4.2078,1
18171,16965,17863,19.0263,7.5976,1
18177,16972,17168,8.124,8.1851,1
18178,16972,16973,4.4721,8.0932,1
18179,16973,16974,1.0,8.1844,1
18379,17167,17426,9.2736,7.9939,1
18380,17167,17168,1.0,8.2764,1
