edge_id,src,dst,length_um,radius_um,usage
290,227,4028456,4.6547,6.3121,1
498,427,3268200,10.0995,2.618,1
850,714,320415,23.4307,3.0,2
969,807,3634613,6.4464,2.6992,2
1157,975,2187,1.4142,5.2421,1
1486,1262,3635372,8.1172,4.899,1
1490,1266,3654871,12.037,7.1443,16
1915,427,1624,9.9499,2.2361,1
2604,2187,5859,2.2361,5.1476,1
2896,2446,3651229,4.3843,4.6111,2
3036,2537,3649638,15.748,5.5495,2
3488,1624,2933,10.8628,2.5322,1
3576,3012,3649621,9.8432,6.5182,2
3605,3039,3663360,19.0788,4.8452,2
3622,3056,3639109,16.7498,3.1796,2
4648,3977,3649029,8.4459,3.4611,1
4649,3977,3658154,5.2599,3.3166,1
5373,4662,3637733,20.2237,2.2071,2
5374,4662,3661958,8.7178,3.5616,2
6689,5859,12290,1.4142,5.1962,1
7151,6300,6451562,22.0983,3.5616,3
7152,6300,6474935,5.2281,3.3708,3
7902,6988,3652501,14.7158,3.8028,2
8035,7118,3657204,13.136,5.1636,2
8151,227,7230,7.2801,5.8735,1
11418,10390,7505579,1.4142,9.9497,1
13169,12096,4394304,5.9722,7.6811,1
13366,12290,30454,1.0,5.1476,1
14480,13380,49668,2.2361,6.2838,1
14486,13385,7505769,1.4142,7.8037,1
15524,14413,3665741,4.0415,5.1926,1
16837,15669,3661780,2.1344,4.7361,2
29461,27960,7497620,11.5326,5.7878,1
29697,28192,217412,9.1104,4.2976,1
32014,30454,70203,2.4495,5.2881,1
41223,39343,6476552,2.1344,8.6533,1
44904,42898,71270,11.3137,4.0616,6
45734,43707,196131,9.434,3.3708,2
45784,2933,43757,10.6301,2.8284,1
46592,44546,222600,12.3288,5.0,6
47846,45732,3667889,18.8856,4.958,2
47967,45843,7495696,11.3578,3.3541,2
48017,45893,83546,11.225,5.1087,2
48099,45973,2896616,2.1794,18.5729,2
50500,48284,1007656,13.0767,3.6736,2
51869,49620,2910645,23.1205,7.6261,1
51916,49668,2910645,2.357,6.5557,1
56146,53790,3670827,9.7411,6.0,2
56147,53790,3672340,1.8856,6.8541,2
56449,54070,3666491,13.3884,4.8599,2
56451,54070,3695464,14.6373,5.2631,2
67430,64797,3673788,4.3205,5.8303,2
70119,67374,154399,5.3852,5.6081,1
71233,68466,3675307,5.5,7.3434,2
71235,68466,3675310,2.5,7.0355,2
72509,12096,69707,6.5574,8.0239,1
73017,70203,103788,1.0,5.4312,1
74105,44546,71270,14.2478,4.5616,6
80307,77261,7504993,4.2426,5.4929,1
81473,78400,6478152,7.6811,3.6427,3
83830,80641,6506278,23.8188,3.118,1
83832,80641,6487618,7.9791,4.5495,1
86835,45843,83546,9.0,1.9841,2
87054,45973,83759,1.4142,18.5729,2
87055,83759,234582,23.6854,10.0448,2
