edge_id,src,dst,length_um,radius_um,usage
290,227,4028456,4.6547,6.3121,1
648,554,3643169,23.4852,3.1796,1
814,688,4378777,24.9396,3.4611,1
815,688,3639493,9.8939,3.3839,1
850,714,320415,23.4307,3.0,1
969,807,3634613,6.4464,2.6992,2
1486,1262,3635372,8.1172,4.899,1
1490,1266,3654871,12.037,7.1443,19
1831,1547,6841387,9.4868,3.6795,1
2486,2088,3482,8.3066,3.0725,1
2889,2441,6489289,17.8776,5.0043,1
3036,2537,3649638,15.748,5.5495,2
3576,3012,3649621,9.8432,6.5182,2
3605,3039,3663360,19.0788,4.8452,2
3622,3056,3639109,16.7498,3.1796,2
4113,3482,5055530,9.2916,3.7199,1
7151,6300,6451562,22.0983,3.5616,2
7152,6300,6474935,5.2281,3.3708,2
7902,6988,3652501,14.7158,3.8028,2
8035,7118,3657204,13.136,5.1636,2
8065,7144,6483390,12.2474,4.6312,1
8151,227,7230,7.2801,5.8735,1
16837,15669,3661780,2.1344,4.7361,2
29461,27960,7497620,11.5326,5.7878,1
30943,27289,29405,12.8841,3.5355,1
30944,29405,30553,7.6811,4.1829,1
32118,30553,31701,7.6811,4.0616,1
33294,31701,32091,7.1414,4.0616,1
33692,32091,32873,6.7082,3.7199,1
34504,32873,33310,5.7446,3.8378,1
34954,33310,37506,11.5758,3.9115,1
35275,33622,111870,11.0,3.3028,1
38283,36532,3319774,12.1883,4.5495,1
38284,36532,3325401,3.35,4.6708,1
39287,37506,40676,10.8167,3.4641,1
42600,40676,44142,10.6771,3.3132,1
44904,42898,71270,11.3137,4.0616,1
46181,44142,47926,11.4455,4.0306,1
46592,44546,222600,12.3288,5.0,1
47846,45732,3667889,18.8856,4.958,2
50500,48284,1007656,13.0767,3.6736,1
52018,47926,49770,8.2462,4.2523,1
53487,49770,51212,7.0,3.3028,1
55530,51212,53212,6.7082,2.9142,1
56146,53790,3670827,9.7411,6.0,2
56147,53790,3672340,1.8856,6.8541,2
56449,54070,3666491,13.3884,4.8599,2
56451,54070,3695464,14.6373,5.2631,2
56629,53212,54239,7.3485,2.8284,1
58227,55801,56832,11.5758,3.8452,1
58231,54239,55805,8.1854,3.4758,1
59288,56832,57347,9.2736,3.3028,1
59810,57347,57348,9.4868,3.6736,1
59811,55805,57348,7.6158,3.9324,1
62431,59902,67247,14.0357,4.1231,1
63000,60462,61497,24.4131,3.7055,1
63001,60462,65145,12.8841,3.285,1
64048,61497,65148,25.1794,4.9839,1
67430,64797,3673788,4.3205,5.8303,2
67793,65145,68947,9.8995,4.1069,1
67796,65148,66187,3.0,5.1421,1
68871,66187,78423,22.2935,4.5708,1
69977,67247,73843,17.0587,3.4758,1
71233,68466,3675307,5.5,7.3434,2
71235,68466,3675310,2.5,7.0355,2
71340,68569,3586280,20.7043,3.7361,1
71724,68947,72052,9.6437,4.5813,1
72353,69557,7494831,13.784,3.7936,1
73776,70946,382992,9.434,3.217,1
74105,44546,71270,14.2478,4.5616,1
74912,72052,75917,11.5326,4.8452,1
76777,73843,79048,15.5563,2.4142,1
77083,74141,1932779,12.4097,2.8501,1
78111,75151,432021,12.9615,2.0908,1
78915,75917,79720,12.8841,5.2386,1
79144,68569,76144,16.5529,2.618,1
79363,76356,3601344,5.4671,3.3028,1
79368,76361,80163,14.8661,2.5322,1
80662,76356,77608,5.7446,2.9142,1
81473,78400,6478152,7.6811,3.6427,2
81497,78423,92690,25.0799,5.0368,1
82162,79048,83264,12.1244,3.0616,1
82660,77608,79528,7.0711,2.9142,1
82860,79720,3614470,12.6183,5.6967,1
83327,80163,83737,19.3391,2.5322,1
83689,76144,80509,21.4009,2.2361,1
83830,80641,6506278,23.8188,3.118,1
83832,80641,6487618,7.9791,4.5495,1
84543,79528,81326,20.347,2.618,1
84658,81435,81437,15.2971,3.4611,1
84660,81437,84556,10.4881,3.6056,1
86514,83245,198172,4.3589,4.216,2
86533,83264,89026,10.7238,4.6111,1
87031,81326,83736,20.4939,2.6992,1
